category,dataset,distilgpt2_correct,failed_models,gpt2_correct,gpt2_margin,pair_id,sentence_bad,sentence_good,subtype,template_type,tiny_correct,tiny_margin
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.04456329345703125,pp_attractor-0031,The judge behind the cabinets travel.,The judge behind the cabinets travels.,pp_plural_attractor_behind,pp_attractor,False,-0.00200653076171875
all_models_succeed,benchmark,True,,True,0.5830828348795567,pp_attractor-0034,The actors behind the report opens.,The actors behind the report open.,pp_singular_attractor_behind,pp_attractor,True,0.0007298787434901755
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.21683120727539062,pp_attractor-0037,The robot beside the cabinets notice.,The robot beside the cabinets notices.,pp_plural_attractor_beside,pp_attractor,False,-0.00010426839192767545
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.3430010477701826,pp_attractor-0040,The reporters beside the cabinet works.,The reporters beside the cabinet work.,pp_singular_attractor_beside,pp_attractor,False,-0.006548563639324101
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.14463106791178326,pp_attractor-0043,The scientist with the students run.,The scientist with the students runs.,pp_plural_attractor_with,pp_attractor,False,-0.00569915771484375
all_models_succeed,benchmark,True,,True,0.05981254577636719,pp_attractor-0046,The birds with the computer notices.,The birds with the computer notice.,pp_singular_attractor_with,pp_attractor,True,0.0001093546549491009
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.4308039347330732,pp_attractor-0049,The driver near the reports close.,The driver near the reports closes.,pp_plural_attractor_near,pp_attractor,True,0.001407623291015625
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.18926366170247277,pp_attractor-0052,The authors near the student smiles.,The authors near the student smile.,pp_singular_attractor_near,pp_attractor,False,-0.002841949462890625
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.17389551798502634,pp_attractor-0055,The reporter behind the students arrive.,The reporter behind the students arrives.,pp_plural_attractor_behind,pp_attractor,False,-0.0010159810384120505
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.5653457641601562,pp_attractor-0058,The managers behind the report returns.,The managers behind the report return.,pp_singular_attractor_behind,pp_attractor,False,-0.008014678955078125
only_one_stronger_model_fails,benchmark,True,hf_gpt2,False,-0.040771484375,pp_attractor-0061,The nurse beside the gardens work.,The nurse beside the gardens works.,pp_plural_attractor_beside,pp_attractor,True,0.0059560139973964255
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.6684214274088536,pp_attractor-0064,The managers beside the garden waits.,The managers beside the garden wait.,pp_singular_attractor_beside,pp_attractor,False,-0.00131988525390625
all_models_succeed,benchmark,True,,True,0.4363562266031904,pp_attractor-0067,The nurse with the paintings laugh.,The nurse with the paintings laughs.,pp_plural_attractor_with,pp_attractor,True,0.006961822509765625
all_models_succeed,benchmark,True,,True,0.2666219075520839,pp_attractor-0070,The reporters with the car notices.,The reporters with the car notice.,pp_singular_attractor_with,pp_attractor,True,0.00011316935221294955
all_models_succeed,benchmark,True,,True,0.3454615275065107,pp_attractor-0073,The guard near the cabinets run.,The guard near the cabinets runs.,pp_plural_attractor_near,pp_attractor,True,0.005162556966144649
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.13102022806803415,pp_attractor-0076,The teachers near the student reads.,The teachers near the student read.,pp_singular_attractor_near,pp_attractor,False,-0.0019353230794276755
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.3906745910644531,pp_attractor-0079,The manager behind the students open.,The manager behind the students opens.,pp_plural_attractor_behind,pp_attractor,False,-0.0007349650065098245
all_models_succeed,benchmark,True,,True,0.5835151672363281,pp_attractor-0082,The birds behind the map listens.,The birds behind the map listen.,pp_singular_attractor_behind,pp_attractor,True,0.005198160807292851
all_models_succeed,benchmark,True,,True,0.2712122599283848,pp_attractor-0085,The robot beside the cabinets close.,The robot beside the cabinets closes.,pp_plural_attractor_beside,pp_attractor,True,0.001269022623699101
all_models_succeed,benchmark,True,,True,0.4468975067138672,pp_attractor-0088,The pilots beside the report arrives.,The pilots beside the report arrive.,pp_singular_attractor_beside,pp_attractor,True,0.0010121663411464255
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.6936575571695967,pp_attractor-0091,The musician with the instruments smile.,The musician with the instruments smiles.,pp_plural_attractor_with,pp_attractor,False,-0.0040219624837245505
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.10800997416178415,pp_attractor-0094,The authors with the garden studies.,The authors with the garden study.,pp_singular_attractor_with,pp_attractor,False,-0.0005518595377616009
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.4691823323567714,pp_attractor-0097,The author near the cabinets answer.,The author near the cabinets answers.,pp_plural_attractor_near,pp_attractor,False,-0.003841400146484375
all_models_succeed,benchmark,True,,True,0.6111316680908203,pp_attractor-0100,The dancers near the car dances.,The dancers near the car dance.,pp_singular_attractor_near,pp_attractor,True,0.0031941731770839255
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.36711883544921875,pp_attractor-0103,The chef behind the reports work.,The chef behind the reports works.,pp_plural_attractor_behind,pp_attractor,False,-0.00653076171875
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.21014912923177054,pp_attractor-0106,The drivers behind the instrument listens.,The drivers behind the instrument listen.,pp_singular_attractor_behind,pp_attractor,False,-0.005680084228515625
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.07244618733724018,pp_attractor-0109,The manager beside the students dance.,The manager beside the students dances.,pp_plural_attractor_beside,pp_attractor,True,0.003269195556640625
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.784961700439454,pp_attractor-0112,The chefs beside the garden waits.,The chefs beside the garden wait.,pp_singular_attractor_beside,pp_attractor,False,-0.0013211568196620505
all_models_succeed,benchmark,True,,True,0.21639569600423236,pp_attractor-0115,The chef with the students answer.,The chef with the students answers.,pp_plural_attractor_with,pp_attractor,True,0.004375457763671875
all_models_succeed,benchmark,True,,True,0.36184183756510446,pp_attractor-0118,The guards with the instrument works.,The guards with the instrument work.,pp_singular_attractor_with,pp_attractor,True,0.006587982177734375
all_models_succeed,benchmark,True,,True,0.09669558207193951,pp_attractor-0121,The teacher near the computers travel.,The teacher near the computers travels.,pp_plural_attractor_near,pp_attractor,True,0.0010045369466151755
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.2234071095784511,pp_attractor-0124,The birds near the computer laughs.,The birds near the computer laugh.,pp_singular_attractor_near,pp_attractor,False,-0.0067227681477870505
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.03878974914550781,pp_attractor-0127,The nurse behind the students write.,The nurse behind the students writes.,pp_plural_attractor_behind,pp_attractor,True,0.01509857177734375
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.008380889892578125,pp_attractor-0130,The dancers behind the book opens.,The dancers behind the book open.,pp_singular_attractor_behind,pp_attractor,False,-0.0007311503092441995
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.06259791056315134,pp_attractor-0133,The guard beside the students listen.,The guard beside the students listens.,pp_plural_attractor_beside,pp_attractor,False,-0.005680084228515625
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.2697760264078779,pp_attractor-0136,The writers beside the map speaks.,The writers beside the map speak.,pp_singular_attractor_beside,pp_attractor,False,-0.0010579427083339255
all_models_succeed,benchmark,True,,True,0.3294378916422529,pp_attractor-0139,The pilot with the students smile.,The pilot with the students smiles.,pp_plural_attractor_with,pp_attractor,True,0.0040766398111973245
all_models_succeed,benchmark,True,,True,0.19373448689778705,pp_attractor-0142,The actors with the key works.,The actors with the key work.,pp_singular_attractor_with,pp_attractor,True,0.0065511067708339255
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.2791290283203125,pp_attractor-0145,The scientist near the students write.,The scientist near the students writes.,pp_plural_attractor_near,pp_attractor,True,0.01509857177734375
all_models_succeed,benchmark,True,,True,0.47810872395833304,pp_attractor-0148,The scientists near the painting studies.,The scientists near the painting study.,pp_singular_attractor_near,pp_attractor,True,0.00057220458984375
all_models_succeed,benchmark,True,,True,0.03660710652669241,pp_attractor-0151,The dog behind the letters wait.,The dog behind the letters waits.,pp_plural_attractor_behind,pp_attractor,True,0.001393636067707149
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.3592859903971348,pp_attractor-0154,The writers behind the cabinet returns.,The writers behind the cabinet return.,pp_singular_attractor_behind,pp_attractor,False,-0.008037567138671875
all_models_succeed,benchmark,True,,True,0.20850626627604107,pp_attractor-0157,The musician beside the reports run.,The musician beside the reports runs.,pp_plural_attractor_beside,pp_attractor,True,0.005702972412109375
all_models_succeed,benchmark,True,,True,0.6374982198079424,pp_attractor-0160,The boys beside the cabinet closes.,The boys beside the cabinet close.,pp_singular_attractor_beside,pp_attractor,True,0.0014394124348964255
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.6544183095296221,pp_attractor-0163,The student with the paintings answer.,The student with the paintings answers.,pp_plural_attractor_with,pp_attractor,False,-0.004207611083984375
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.27265421549479196,pp_attractor-0166,The musicians with the report answers.,The musicians with the report answer.,pp_singular_attractor_with,pp_attractor,False,-0.0043500264485683005
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.10872650146484286,pp_attractor-0169,The writer near the computers sleep.,The writer near the computers sleeps.,pp_plural_attractor_near,pp_attractor,False,-0.0008061726888026755
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.12394460042317679,pp_attractor-0172,The students near the key arrives.,The students near the key arrive.,pp_singular_attractor_near,pp_attractor,False,-0.0009167989095058005
mixed_disagreement,benchmark,True,"hf_gpt2,hf_tiny_gpt2",False,-0.07344373067220022,pp_attractor-0175,The dog behind the cars notice.,The dog behind the cars notices.,pp_plural_attractor_behind,pp_attractor,False,-6.103515625e-05
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.8436470031738281,pp_attractor-0178,The scientists behind the book sleeps.,The scientists behind the book sleep.,pp_singular_attractor_behind,pp_attractor,False,-0.0017217000325526755
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.3352305094401036,pp_attractor-0181,The student beside the maps run.,The student beside the maps runs.,pp_plural_attractor_beside,pp_attractor,False,-0.0054944356282558005
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.2887077331542969,pp_attractor-0184,The actors beside the letter runs.,The actors beside the letter run.,pp_singular_attractor_beside,pp_attractor,False,-0.005772908528644649
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.08994547526041607,pp_attractor-0187,The bird with the cars close.,The bird with the cars closes.,pp_plural_attractor_with,pp_attractor,True,0.0007298787434883991
mixed_disagreement,benchmark,True,"hf_gpt2,hf_tiny_gpt2",False,-0.18320782979329397,pp_attractor-0190,The judges with the map answers.,The judges with the map answer.,pp_singular_attractor_with,pp_attractor,False,-0.0040143330891933005
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.06313260396321585,pp_attractor-0193,The bird near the books open.,The bird near the books opens.,pp_plural_attractor_near,pp_attractor,True,0.0007146199544276755
all_models_succeed,benchmark,True,,True,0.2321186065673828,pp_attractor-0196,The drivers near the car notices.,The drivers near the car notice.,pp_singular_attractor_near,pp_attractor,True,0.00011316935221294955
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.581614176432292,pp_attractor-0199,The dancer behind the books return.,The dancer behind the books returns.,pp_plural_attractor_behind,pp_attractor,False,-0.007684071858722774
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.4559491475423183,pp_attractor-0202,The reporters behind the report notices.,The reporters behind the report notice.,pp_singular_attractor_behind,pp_attractor,False,-0.0001169840494803509
all_models_succeed,benchmark,True,,True,0.6083456675211592,pp_attractor-0205,The writer beside the maps speak.,The writer beside the maps speaks.,pp_plural_attractor_beside,pp_attractor,True,0.0011126200358066995
all_models_succeed,benchmark,True,,True,0.3504206339518223,pp_attractor-0208,The chefs beside the student listens.,The chefs beside the student listen.,pp_singular_attractor_beside,pp_attractor,True,0.003997802734375
all_models_succeed,benchmark,True,,True,0.582763671875,pp_attractor-0211,The teacher with the letters answer.,The teacher with the letters answers.,pp_plural_attractor_with,pp_attractor,True,0.004450480143230351
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.4939619700113935,pp_attractor-0214,The writers with the cabinet waits.,The writers with the cabinet wait.,pp_singular_attractor_with,pp_attractor,False,-0.0013669331868495505
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.5707041422526045,pp_attractor-0217,The robot near the reports study.,The robot near the reports studies.,pp_plural_attractor_near,pp_attractor,False,-0.00057220458984375
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.2971223195393877,pp_attractor-0220,The guards near the instrument opens.,The guards near the instrument open.,pp_singular_attractor_near,pp_attractor,False,-0.0007349650065098245
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.1651446024576826,pp_attractor-0223,The pilot behind the reports study.,The pilot behind the reports studies.,pp_plural_attractor_behind,pp_attractor,False,-0.0005709330240879495
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.4924914042154951,pp_attractor-0226,The pilots behind the map notices.,The pilots behind the map notice.,pp_singular_attractor_behind,pp_attractor,False,-0.0001068115234375
mixed_disagreement,benchmark,True,"hf_gpt2,hf_tiny_gpt2",False,-0.03295008341471295,pp_attractor-0229,The teacher beside the cars notice.,The teacher beside the cars notices.,pp_plural_attractor_beside,pp_attractor,False,-5.976359049419955e-05
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.45273335774739554,pp_attractor-0232,The birds beside the report returns.,The birds beside the report return.,pp_singular_attractor_beside,pp_attractor,False,-0.008017222086589726
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.1383819580078125,pp_attractor-0235,The boy with the books read.,The boy with the books reads.,pp_plural_attractor_with,pp_attractor,False,-0.002685546875
mixed_disagreement,benchmark,True,"hf_gpt2,hf_tiny_gpt2",False,-0.05077171325683594,pp_attractor-0238,The students with the key moves.,The students with the key move.,pp_singular_attractor_with,pp_attractor,False,-0.006389617919921875
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.5218048095703134,relative_clause-0002,The guard that the artist follows travel.,The guard that the artist follows travels.,object_relative_clause_that,relative_clause,False,-0.0013427734375
all_models_succeed,benchmark,True,,True,0.17399978637695312,relative_clause-0005,The actor who the broker observes travel.,The actor who the broker observes travels.,object_relative_clause_who,relative_clause,True,0.0004098074776788252
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.22759791782924133,relative_clause-0008,The nurses that the broker questions arrives.,The nurses that the broker questions arrive.,plural_object_relative_clause_that,relative_clause,False,-0.0007771083286840508
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.17504991803850434,relative_clause-0011,The dog that the singers like dance.,The dog that the singers like dances.,object_relative_clause_plural_embedded_that,relative_clause,True,0.006325857979911476
all_models_succeed,benchmark,True,,True,0.2706934611002598,relative_clause-0014,The boy who the librarians support arrive.,The boy who the librarians support arrives.,object_relative_clause_plural_embedded_who,relative_clause,True,0.00043487548828125
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.03626142229352691,relative_clause-0017,The dog that the broker helps listen.,The dog that the broker helps listens.,object_relative_clause_that,relative_clause,False,-0.005315508161272575
all_models_succeed,benchmark,True,,True,0.4587315150669644,relative_clause-0020,The teacher who the mechanic likes answer.,The teacher who the mechanic likes answers.,object_relative_clause_who,relative_clause,True,0.003420148577008675
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.008963448660714413,relative_clause-0023,The teachers that the farmer calls smiles.,The teachers that the farmer calls smile.,plural_object_relative_clause_that,relative_clause,False,-0.0067105974469861
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.06720406668526824,relative_clause-0026,The pilot that the girls support read.,The pilot that the girls support reads.,object_relative_clause_plural_embedded_that,relative_clause,True,0.006342206682477425
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.22930799211774477,relative_clause-0029,The nurse who the mechanics observe speak.,The nurse who the mechanics observe speaks.,object_relative_clause_plural_embedded_who,relative_clause,False,-0.0008566720145086748
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.18245370047433074,relative_clause-0032,The boy that the neighbor teaches travel.,The boy that the neighbor teaches travels.,object_relative_clause_that,relative_clause,False,-0.0013318743024548496
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.3050722394670755,relative_clause-0035,The teacher who the artist trusts listen.,The teacher who the artist trusts listens.,object_relative_clause_who,relative_clause,False,-0.005320957728793374
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.48579297746930816,relative_clause-0038,The nurses that the mechanic helps smiles.,The nurses that the mechanic helps smile.,plural_object_relative_clause_that,relative_clause,False,-0.0062833513532361
all_models_succeed,benchmark,True,,True,0.4337637765066962,relative_clause-0041,The scientist that the clerks teach wait.,The scientist that the clerks teach waits.,object_relative_clause_plural_embedded_that,relative_clause,True,0.0013177054268975752
all_models_succeed,benchmark,True,,True,0.2064023699079236,relative_clause-0044,The boy who the brokers support dance.,The boy who the brokers support dances.,object_relative_clause_plural_embedded_who,relative_clause,True,0.00587899344307985
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.2046661376953125,relative_clause-0047,The judge that the mechanic likes sleep.,The judge that the mechanic likes sleeps.,object_relative_clause_that,relative_clause,True,0.0009111676897326504
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.061659676688057274,relative_clause-0050,The nurse who the clerk sees laugh.,The nurse who the clerk sees laughs.,object_relative_clause_who,relative_clause,False,-0.00429534912109375
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.5081318446568073,relative_clause-0053,The pilots that the doctor questions returns.,The pilots that the doctor questions return.,plural_object_relative_clause_that,relative_clause,False,-0.0037471226283489756
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.12244415283203125,relative_clause-0056,The author that the clerks observe write.,The author that the clerks observe writes.,object_relative_clause_plural_embedded_that,relative_clause,False,-0.0021830967494427256
all_models_succeed,benchmark,True,,True,0.037732805524553825,relative_clause-0059,The judge who the artists follow answer.,The judge who the artists follow answers.,object_relative_clause_plural_embedded_who,relative_clause,True,0.0033296857561389004
all_models_succeed,benchmark,True,,True,0.4146150861467639,relative_clause-0062,The dog that the doctor supports wait.,The dog that the doctor supports waits.,object_relative_clause_that,relative_clause,True,0.0013144356863836748
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.5244086129324783,relative_clause-0065,The judge who the girl trusts write.,The judge who the girl trusts writes.,object_relative_clause_who,relative_clause,False,-0.0021514892578125
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.7960782732282361,relative_clause-0068,The students that the broker knows runs.,The students that the broker knows run.,plural_object_relative_clause_that,relative_clause,False,-0.004467555454800376
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.4370880126953134,relative_clause-0071,The scientist that the clerks help laugh.,The scientist that the clerks help laughs.,object_relative_clause_plural_embedded_that,relative_clause,False,-0.0042909894670764
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.13848876953125,relative_clause-0074,The chef who the singers trust notice.,The chef who the singers trust notices.,object_relative_clause_plural_embedded_who,relative_clause,False,-5.667550223265039e-05
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.6107282638549805,relative_clause-0077,The reporter that the neighbor admires laugh.,The reporter that the neighbor admires laughs.,object_relative_clause_that,relative_clause,False,-0.013205528259277344
mixed_disagreement,benchmark,True,"hf_gpt2,hf_tiny_gpt2",False,-0.07991899762834809,relative_clause-0080,The judge who the lawyer calls move.,The judge who the lawyer calls moves.,object_relative_clause_who,relative_clause,False,-0.004906790597098976
all_models_succeed,benchmark,True,,True,0.4950774056570868,relative_clause-0083,The judges that the singer observes closes.,The judges that the singer observes close.,plural_object_relative_clause_that,relative_clause,True,0.00079345703125
mixed_disagreement,benchmark,True,"hf_gpt2,hf_tiny_gpt2",False,-0.24892425537109286,relative_clause-0086,The pilot that the lawyers question study.,The pilot that the lawyers question studies.,object_relative_clause_plural_embedded_that,relative_clause,False,-0.000213623046875
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.5656803676060269,relative_clause-0089,The writer who the editors admire arrive.,The writer who the editors admire arrives.,object_relative_clause_plural_embedded_who,relative_clause,True,0.0007869175502239756
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.2475590705871582,relative_clause-0092,The chef that the broker admires run.,The chef that the broker admires runs.,object_relative_clause_that,relative_clause,False,-0.0041370391845703125
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.0730623517717639,relative_clause-0095,The musician who the farmer supports open.,The musician who the farmer supports opens.,object_relative_clause_who,relative_clause,False,-0.0027476719447534492
all_models_succeed,benchmark,True,,True,0.15497807094028992,relative_clause-0098,The drivers that the doctor remembers studies.,The drivers that the doctor remembers study.,plural_object_relative_clause_that,relative_clause,True,0.0002190726143975752
all_models_fail,benchmark,False,"hf_distilgpt2,hf_gpt2,hf_tiny_gpt2",False,-0.008780343191963524,relative_clause-0101,The pilot that the clerks like write.,The pilot that the clerks like writes.,object_relative_clause_plural_embedded_that,relative_clause,False,-0.00013296944754337403
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.2114960806710382,relative_clause-0104,The author who the mechanics trust write.,The author who the mechanics trust writes.,object_relative_clause_plural_embedded_who,relative_clause,False,-0.0021580287388385244
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.016907283238002613,relative_clause-0107,The nurse that the coach supports sleep.,The nurse that the coach supports sleeps.,object_relative_clause_that,relative_clause,True,0.0009405953543542012
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.7745573861258368,relative_clause-0110,The guard who the artist follows laugh.,The guard who the artist follows laughs.,object_relative_clause_who,relative_clause,False,-0.0042844499860486
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.42473929268973176,relative_clause-0113,The pilots that the artist observes reads.,The pilots that the artist observes read.,plural_object_relative_clause_that,relative_clause,False,-0.008492606026786476
all_models_succeed,benchmark,True,,True,0.21503176007952085,relative_clause-0116,The dancer that the farmers support wait.,The dancer that the farmers support waits.,object_relative_clause_plural_embedded_that,relative_clause,True,0.0013057163783471992
only_one_stronger_model_fails,benchmark,True,hf_gpt2,False,-0.12640544346400695,relative_clause-0119,The judge who the visitors see run.,The judge who the visitors see runs.,object_relative_clause_plural_embedded_who,relative_clause,True,0.00454275948660765
all_models_succeed,benchmark,True,,True,0.5662144252232144,relative_clause-0122,The pilot that the singer teaches return.,The pilot that the singer teaches returns.,object_relative_clause_that,relative_clause,True,0.0036577497209826504
all_models_succeed,benchmark,True,,True,0.334744930267334,relative_clause-0125,The guard who the librarian supports notice.,The guard who the librarian supports notices.,object_relative_clause_who,relative_clause,True,5.245208740234375e-05
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_tiny_gpt2",True,0.31373160226004426,relative_clause-0128,The drivers that the lawyer follows smiles.,The drivers that the lawyer follows smile.,plural_object_relative_clause_that,relative_clause,False,-0.0062713623046875
only_one_stronger_model_fails,benchmark,False,hf_distilgpt2,True,0.12442071097237761,relative_clause-0131,The boy that the coaches help arrive.,The boy that the coaches help arrives.,object_relative_clause_plural_embedded_that,relative_clause,True,0.0007880074637274248
mixed_disagreement,benchmark,False,"hf_distilgpt2,hf_gpt2",False,-0.20600237165178648,relative_clause-0134,The actor who the visitors follow sleep.,The actor who the visitors follow sleeps.,object_relative_clause_plural_embedded_who,relative_clause,True,0.00093841552734375
all_models_succeed,benchmark,True,,True,0.22217614310128297,relative_clause-0137,The dancer that the lawyer remembers dance.,The dancer that the lawyer remembers dances.,object_relative_clause_that,relative_clause,True,0.005872453962053825
all_models_succeed,benchmark,True,,True,0.3573946271623889,relative_clause-0140,The teacher who the editor observes travel.,The teacher who the editor observes travels.,object_relative_clause_who,relative_clause,True,0.0004414149693090508
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.4460536411830365,relative_clause-0143,The birds that the artist teaches arrives.,The birds that the artist teaches arrive.,plural_object_relative_clause_that,relative_clause,False,-0.0007880074637274248
tiny_fails_stronger_succeed,benchmark,True,hf_tiny_gpt2,True,0.3059412638346357,relative_clause-0146,The pilot that the librarians admire speak.,The pilot that the librarians admire speaks.,object_relative_clause_plural_embedded_that,relative_clause,False,-0.0006340874565982091
