accuracy,correct,failure_rate,group,group_by,mean_preference_margin,model_id,model_label,model_name,model_provider,near_failure_rate,total
0.4,4,0.6,pp_singular_attractor_near,subtype,-0.0008228302001953125,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,10
0.9,9,0.1,pp_singular_attractor_with,subtype,0.2132720311482748,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,10
0.8,8,0.2,pp_singular_attractor_with,subtype,0.18267701466878278,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,10
0.4,4,0.6,pp_singular_attractor_with,subtype,-0.0005985260009767401,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,1.0,10
1.0,40,0.0,simple_plural,subtype,1.2640542189280195,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0,40
1.0,40,0.0,simple_plural,subtype,1.4729412873586014,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,40
0.425,17,0.575,simple_plural,subtype,-0.0016512552897136156,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.7,40
0.725,29,0.275,simple_singular,subtype,0.3407437801361084,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.025,40
0.925,37,0.075,simple_singular,subtype,0.7568552017211913,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,40
0.625,25,0.375,simple_singular,subtype,0.0048594792683919865,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.525,40
0.7375,59,0.2625,pp_attractor,template_type,0.20620754559834792,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.025,80
0.8,64,0.2,pp_attractor,template_type,0.23129719098409018,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0125,80
0.4375,35,0.5625,pp_attractor,template_type,1.2779235839865954e-05,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.975,80
0.6875,55,0.3125,relative_clause,template_type,0.13709891533094737,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.05,80
0.775,62,0.225,relative_clause,template_type,0.18909865844817392,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0375,80
0.45,36,0.55,relative_clause,template_type,-0.00035729957005325996,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.9875,80
0.8625,69,0.1375,simple_agreement,template_type,0.8023989995320635,hf_distilgpt2,Hugging Face DistilGPT-2,distilgpt2,huggingface,0.0125,80
0.9625,77,0.0375,simple_agreement,template_type,1.1148982445398967,hf_gpt2,Hugging Face GPT-2,gpt2,huggingface,0.0,80
0.525,42,0.475,simple_agreement,template_type,0.0016041119893391853,hf_tiny_gpt2,Hugging Face tiny GPT-2,sshleifer/tiny-gpt2,huggingface,0.6125,80
